common_name,scientific_name,country,habitat
,Cyperus clarkei,India,
,Cyperus clarkei,Sri Lanka,
,Cyperus clarkei,Vietnam,
,Cyperus clarus,Australia,
,Cyperus clavinux,Botswana,
,Cyperus clavinux,Chad,
,Cyperus clavinux,Malawi,
,Cyperus clavinux,Tanzania,
,Cyperus clavinux,Zambia,
,Cyperus clavinux,Zimbabwe,
,Cyperus columbiensis,Colombia,
,Cyperus colymbetes,Kenya,
,Cyperus colymbetes,Madagascar,
,Cyperus colymbetes,Mozambique,
,Cyperus colymbetes,Sudan,
,Cyperus colymbetes,Tanzania,
,Cyperus colymbetes,Uganda,
,Cyperus commixtus,Somalia,
,Cyperus commixtus,Sudan,
,Cyperus compactus,Australia,
,Cyperus compactus,Bangladesh,
,Cyperus compactus,Cambodia,
,Cyperus compactus,China,
,Cyperus compactus,India,
,Cyperus compactus,Indonesia,
,Cyperus compactus,Laos,
,Cyperus compactus,Madagascar,
,Cyperus compactus,Malaysia,
,Cyperus compactus,Myanmar,
,Cyperus compactus,Nepal,
,Cyperus compactus,Pakistan,
,Cyperus compactus,Philippines,
,Cyperus compactus,Sri Lanka,
,Cyperus compactus,Taiwan,
,Cyperus compactus,Thailand,
,Cyperus compactus,Vietnam,
poorland flatsedge,Cyperus compressus,Afghanistan,
poorland flatsedge,Cyperus compressus,Angola,
poorland flatsedge,Cyperus compressus,Australia,
poorland flatsedge,Cyperus compressus,Bangladesh,
poorland flatsedge,Cyperus compressus,Belize,
poorland flatsedge,Cyperus compressus,Benin,
poorland flatsedge,Cyperus compressus,Bolivia,
poorland flatsedge,Cyperus compressus,Botswana,
poorland flatsedge,Cyperus compressus,Brazil,
poorland flatsedge,Cyperus compressus,Burkina Faso,
poorland flatsedge,Cyperus compressus,Cambodia,
poorland flatsedge,Cyperus compressus,Cameroon,
poorland flatsedge,Cyperus compressus,Cape Verde,
poorland flatsedge,Cyperus compressus,Central African Republic,
poorland flatsedge,Cyperus compressus,China,
poorland flatsedge,Cyperus compressus,Colombia,
poorland flatsedge,Cyperus compressus,Costa Rica,
poorland flatsedge,Cyperus compressus,Cuba,
poorland flatsedge,Cyperus compressus,Democratic Republic of the Congo,
poorland flatsedge,Cyperus compressus,Dominican Republic,
poorland flatsedge,Cyperus compressus,Egypt,
poorland flatsedge,Cyperus compressus,El Salvador,
poorland flatsedge,Cyperus compressus,Ethiopia,
poorland flatsedge,Cyperus compressus,France,
poorland flatsedge,Cyperus compressus,Gabon,
poorland flatsedge,Cyperus compressus,Gambia,
poorland flatsedge,Cyperus compressus,Ghana,
poorland flatsedge,Cyperus compressus,Guatemala,
poorland flatsedge,Cyperus compressus,Guyana,
poorland flatsedge,Cyperus compressus,Haiti,
poorland flatsedge,Cyperus compressus,Honduras,
poorland flatsedge,Cyperus compressus,India,
poorland flatsedge,Cyperus compressus,Ivory Coast,
poorland flatsedge,Cyperus compressus,Jamaica,
poorland flatsedge,Cyperus compressus,Japan,
poorland flatsedge,Cyperus compressus,Kenya,
poorland flatsedge,Cyperus compressus,Laos,
poorland flatsedge,Cyperus compressus,Liberia,
poorland flatsedge,Cyperus compressus,Madagascar,
poorland flatsedge,Cyperus compressus,Malawi,
poorland flatsedge,Cyperus compressus,Mali,
poorland flatsedge,Cyperus compressus,Mauritius,
poorland flatsedge,Cyperus compressus,Mexico,
poorland flatsedge,Cyperus compressus,Mozambique,
poorland flatsedge,Cyperus compressus,Myanmar,
poorland flatsedge,Cyperus compressus,Namibia,
poorland flatsedge,Cyperus compressus,Nepal,
poorland flatsedge,Cyperus compressus,Nicaragua,
poorland flatsedge,Cyperus compressus,Nigeria,
poorland flatsedge,Cyperus compressus,Pakistan,
poorland flatsedge,Cyperus compressus,Panama,
poorland flatsedge,Cyperus compressus,Peru,
poorland flatsedge,Cyperus compressus,Philippines,
poorland flatsedge,Cyperus compressus,Samoa,
poorland flatsedge,Cyperus compressus,Senegal,
poorland flatsedge,Cyperus compressus,Seychelles,
poorland flatsedge,Cyperus compressus,Sierra Leone,
poorland flatsedge,Cyperus compressus,Somalia,
poorland flatsedge,Cyperus compressus,Sri Lanka,
poorland flatsedge,Cyperus compressus,Sudan,
poorland flatsedge,Cyperus compressus,Suriname,
poorland flatsedge,Cyperus compressus,Swaziland,
poorland flatsedge,Cyperus compressus,Taiwan,
poorland flatsedge,Cyperus compressus,Tanzania,
poorland flatsedge,Cyperus compressus,Thailand,
poorland flatsedge,Cyperus compressus,Togo,
poorland flatsedge,Cyperus compressus,Tonga,
poorland flatsedge,Cyperus compressus,Trinidad and Tobago,
poorland flatsedge,Cyperus compressus,Uganda,
poorland flatsedge,Cyperus compressus,United States,
poorland flatsedge,Cyperus compressus,Vietnam,
poorland flatsedge,Cyperus compressus,Zambia,
poorland flatsedge,Cyperus compressus,Zimbabwe,
,Cyperus concinnus,Australia,
West Indian flatsedge,Cyperus confertus,Aruba,
West Indian flatsedge,Cyperus confertus,Bahamas,
West Indian flatsedge,Cyperus confertus,Colombia,
West Indian flatsedge,Cyperus confertus,Cuba,
West Indian flatsedge,Cyperus confertus,Dominican Republic,
West Indian flatsedge,Cyperus confertus,Haiti,
West Indian flatsedge,Cyperus confertus,Jamaica,
West Indian flatsedge,Cyperus confertus,Trinidad and Tobago,
West Indian flatsedge,Cyperus confertus,United States,
,Cyperus congensis,Benin,
,Cyperus congensis,Gabon,
,Cyperus congensis,Ivory Coast,
,Cyperus congensis,Liberia,
,Cyperus congensis,Senegal,
,Cyperus congensis,Sierra Leone,
,Cyperus congensis,Togo,
clustered flatsedge,Cyperus congestus,Australia,
clustered flatsedge,Cyperus congestus,Lesotho,
clustered flatsedge,Cyperus congestus,Mozambique,
clustered flatsedge,Cyperus congestus,Namibia,
clustered flatsedge,Cyperus congestus,New Zealand,
clustered flatsedge,Cyperus congestus,South Africa,
clustered flatsedge,Cyperus congestus,Zimbabwe,
Sedge,Cyperus conglomeratus,Afghanistan,
Sedge,Cyperus conglomeratus,Algeria,
Sedge,Cyperus conglomeratus,Burkina Faso,
Sedge,Cyperus conglomeratus,Central African Republic,
Sedge,Cyperus conglomeratus,Chad,
Sedge,Cyperus conglomeratus,Djibouti,
Sedge,Cyperus conglomeratus,Egypt,
Sedge,Cyperus conglomeratus,Eritrea,
Sedge,Cyperus conglomeratus,Ethiopia,
Sedge,Cyperus conglomeratus,Gabon,
Sedge,Cyperus conglomeratus,India,
Sedge,Cyperus conglomeratus,Iran,
Sedge,Cyperus conglomeratus,Iraq,
Sedge,Cyperus conglomeratus,Kenya,
Sedge,Cyperus conglomeratus,Kuwait,
Sedge,Cyperus conglomeratus,Libya,
Sedge,Cyperus conglomeratus,Madagascar,
Sedge,Cyperus conglomeratus,Mali,
Sedge,Cyperus conglomeratus,Mauritania,
Sedge,Cyperus conglomeratus,Mauritius,
Sedge,Cyperus conglomeratus,Morocco,
Sedge,Cyperus conglomeratus,Niger,
Sedge,Cyperus conglomeratus,Oman,
Sedge,Cyperus conglomeratus,Pakistan,
Sedge,Cyperus conglomeratus,Saudi Arabia,
Sedge,Cyperus conglomeratus,Senegal,
Sedge,Cyperus conglomeratus,Seychelles,
Sedge,Cyperus conglomeratus,Somalia,
Sedge,Cyperus conglomeratus,Sudan,
Sedge,Cyperus conglomeratus,Tunisia,
Sedge,Cyperus conglomeratus,Yemen,
,Cyperus conicus,Australia,
,Cyperus consors,Brazil,
,Cyperus constanzae,Cuba,
,Cyperus constanzae,Dominican Republic,
,Cyperus constanzae,Haiti,
,Cyperus constanzae,Jamaica,
,Cyperus coriifolius,Brazil,
,Cyperus cornelii-ostenii,Argentina,
,Cyperus cornelii-ostenii,Bolivia,
,Cyperus cornelii-ostenii,Brazil,
,Cyperus cornelii-ostenii,Paraguay,
,Cyperus correllii,Bahamas,
,Cyperus corymbosus,Algeria,
,Cyperus corymbosus,Angola,
,Cyperus corymbosus,Bangladesh,
,Cyperus corymbosus,Botswana,
,Cyperus corymbosus,Brazil,
,Cyperus corymbosus,Chad,
,Cyperus corymbosus,Cuba,
,Cyperus corymbosus,Guyana,
,Cyperus corymbosus,India,
,Cyperus corymbosus,Iraq,
,Cyperus corymbosus,Ivory Coast,
,Cyperus corymbosus,Madagascar,
,Cyperus corymbosus,Mozambique,
,Cyperus corymbosus,Myanmar,
,Cyperus corymbosus,Nepal,
,Cyperus corymbosus,Pakistan,
,Cyperus corymbosus,South Africa,
,Cyperus corymbosus,Sri Lanka,
,Cyperus corymbosus,Suriname,
,Cyperus corymbosus,Tanzania,
,Cyperus corymbosus,Thailand,
,Cyperus corymbosus,Togo,
,Cyperus corymbosus,Vietnam,
,Cyperus costaricensis,Bolivia,
,Cyperus costaricensis,Costa Rica,
,Cyperus costaricensis,Panama,
,Cyperus cracens,Australia,
,Cyperus crassipes,Angola,
,Cyperus crassipes,Benin,
,Cyperus crassipes,Democratic Republic of the Congo,
,Cyperus crassipes,Gabon,
,Cyperus crassipes,Ghana,
,Cyperus crassipes,Guinea,
,Cyperus crassipes,Ivory Coast,
,Cyperus crassipes,Kenya,
,Cyperus crassipes,Liberia,
,Cyperus crassipes,Madagascar,
,Cyperus crassipes,Mozambique,
,Cyperus crassipes,Nigeria,
,Cyperus crassipes,Republic of the Congo,
,Cyperus crassipes,Senegal,
,Cyperus crassipes,Sierra Leone,
,Cyperus crassipes,Somalia,
,Cyperus crassipes,South Africa,
,Cyperus crassipes,Tanzania,
,Cyperus crassipes,Togo,
,Cyperus cremeomariscus,Tanzania,
,Cyperus crispulus,Australia,
,Cyperus cristulatus,Australia,
Baldwin's flatsedge,Cyperus croceus,Bahamas,water
Baldwin's flatsedge,Cyperus croceus,Bermuda,water
Baldwin's flatsedge,Cyperus croceus,Colombia,water
Baldwin's flatsedge,Cyperus croceus,Costa Rica,water
Baldwin's flatsedge,Cyperus croceus,Cuba,water
Baldwin's flatsedge,Cyperus croceus,Guatemala,water
Baldwin's flatsedge,Cyperus croceus,Guyana,water
Baldwin's flatsedge,Cyperus croceus,Haiti,water
Baldwin's flatsedge,Cyperus croceus,Honduras,water
Baldwin's flatsedge,Cyperus croceus,Jamaica,water
Baldwin's flatsedge,Cyperus croceus,Mexico,water
Baldwin's flatsedge,Cyperus croceus,Nicaragua,water
Baldwin's flatsedge,Cyperus croceus,Panama,water
Baldwin's flatsedge,Cyperus croceus,Peru,water
Baldwin's flatsedge,Cyperus croceus,Suriname,water
Baldwin's flatsedge,Cyperus croceus,United States,water
,Cyperus cruentus,Eritrea,
,Cyperus cruentus,Ethiopia,
,Cyperus cruentus,Kenya,
,Cyperus cruentus,Malawi,
,Cyperus cruentus,Mozambique,
,Cyperus cruentus,Saudi Arabia,
,Cyperus cruentus,Somalia,
,Cyperus cruentus,Sudan,
,Cyperus cruentus,Tanzania,
,Cyperus cruentus,Uganda,
,Cyperus cruentus,Yemen,
,Cyperus cruentus,Zambia,
,Cyperus cruentus,Zimbabwe,
,Cyperus cundudoensis,Ethiopia,
,Cyperus cundudoensis,Somalia,
,Cyperus cunninghamii,Australia,
,Cyperus curvistylis,Australia,
coastal plain flatsedge,Cyperus cuspidatus,Angola,coastal
coastal plain flatsedge,Cyperus cuspidatus,Australia,coastal
coastal plain flatsedge,Cyperus cuspidatus,Bangladesh,coastal
coastal plain flatsedge,Cyperus cuspidatus,Benin,coastal
coastal plain flatsedge,Cyperus cuspidatus,Bolivia,coastal
coastal plain flatsedge,Cyperus cuspidatus,Botswana,coastal
coastal plain flatsedge,Cyperus cuspidatus,Brazil,coastal
coastal plain flatsedge,Cyperus cuspidatus,Burkina Faso,coastal
coastal plain flatsedge,Cyperus cuspidatus,Burundi,coastal
coastal plain flatsedge,Cyperus cuspidatus,Cambodia,coastal
coastal plain flatsedge,Cyperus cuspidatus,Central African Republic,coastal
coastal plain flatsedge,Cyperus cuspidatus,Chad,coastal
coastal plain flatsedge,Cyperus cuspidatus,China,coastal
coastal plain flatsedge,Cyperus cuspidatus,Colombia,coastal
coastal plain flatsedge,Cyperus cuspidatus,Cuba,coastal
coastal plain flatsedge,Cyperus cuspidatus,Democratic Republic of the Congo,coastal
coastal plain flatsedge,Cyperus cuspidatus,El Salvador,coastal
coastal plain flatsedge,Cyperus cuspidatus,Ethiopia,coastal
coastal plain flatsedge,Cyperus cuspidatus,France,coastal
coastal plain flatsedge,Cyperus cuspidatus,Gabon,coastal
coastal plain flatsedge,Cyperus cuspidatus,Gambia,coastal
coastal plain flatsedge,Cyperus cuspidatus,Ghana,coastal
coastal plain flatsedge,Cyperus cuspidatus,Guinea,coastal
coastal plain flatsedge,Cyperus cuspidatus,Guinea-Bissau,coastal
coastal plain flatsedge,Cyperus cuspidatus,Guyana,coastal
coastal plain flatsedge,Cyperus cuspidatus,Honduras,coastal
coastal plain flatsedge,Cyperus cuspidatus,India,coastal
coastal plain flatsedge,Cyperus cuspidatus,Ivory Coast,coastal
coastal plain flatsedge,Cyperus cuspidatus,Kenya,coastal
coastal plain flatsedge,Cyperus cuspidatus,Laos,coastal
coastal plain flatsedge,Cyperus cuspidatus,Liberia,coastal
coastal plain flatsedge,Cyperus cuspidatus,Madagascar,coastal
coastal plain flatsedge,Cyperus cuspidatus,Malawi,coastal
coastal plain flatsedge,Cyperus cuspidatus,Malaysia,coastal
coastal plain flatsedge,Cyperus cuspidatus,Mali,coastal
coastal plain flatsedge,Cyperus cuspidatus,Mauritania,coastal
coastal plain flatsedge,Cyperus cuspidatus,Mauritius,coastal
coastal plain flatsedge,Cyperus cuspidatus,Mexico,coastal
coastal plain flatsedge,Cyperus cuspidatus,Mozambique,coastal
coastal plain flatsedge,Cyperus cuspidatus,Namibia,coastal
coastal plain flatsedge,Cyperus cuspidatus,Nepal,coastal
coastal plain flatsedge,Cyperus cuspidatus,Niger,coastal
coastal plain flatsedge,Cyperus cuspidatus,Nigeria,coastal
coastal plain flatsedge,Cyperus cuspidatus,Pakistan,coastal
coastal plain flatsedge,Cyperus cuspidatus,Peru,coastal
coastal plain flatsedge,Cyperus cuspidatus,Philippines,coastal
coastal plain flatsedge,Cyperus cuspidatus,Republic of the Congo,coastal
coastal plain flatsedge,Cyperus cuspidatus,Senegal,coastal
coastal plain flatsedge,Cyperus cuspidatus,Sierra Leone,coastal
coastal plain flatsedge,Cyperus cuspidatus,Somalia,coastal
coastal plain flatsedge,Cyperus cuspidatus,Sri Lanka,coastal
coastal plain flatsedge,Cyperus cuspidatus,Sudan,coastal
coastal plain flatsedge,Cyperus cuspidatus,Suriname,coastal
coastal plain flatsedge,Cyperus cuspidatus,Swaziland,coastal
coastal plain flatsedge,Cyperus cuspidatus,Taiwan,coastal
coastal plain flatsedge,Cyperus cuspidatus,Tanzania,coastal
coastal plain flatsedge,Cyperus cuspidatus,Thailand,coastal
coastal plain flatsedge,Cyperus cuspidatus,Togo,coastal
coastal plain flatsedge,Cyperus cuspidatus,Uganda,coastal
coastal plain flatsedge,Cyperus cuspidatus,United States,coastal
coastal plain flatsedge,Cyperus cuspidatus,Vietnam,coastal
coastal plain flatsedge,Cyperus cuspidatus,Zambia,coastal
coastal plain flatsedge,Cyperus cuspidatus,Zimbabwe,coastal
,Cyperus cymulosus,Mauritius,
Old World flatsedge,Cyperus cyperinus,Australia,water
Old World flatsedge,Cyperus cyperinus,Bangladesh,water
Old World flatsedge,Cyperus cyperinus,China,water
Old World flatsedge,Cyperus cyperinus,Cook Islands,water
Old World flatsedge,Cyperus cyperinus,Fiji,water
Old World flatsedge,Cyperus cyperinus,France,water
Old World flatsedge,Cyperus cyperinus,India,water
Old World flatsedge,Cyperus cyperinus,Malaysia,water
Old World flatsedge,Cyperus cyperinus,Myanmar,water
Old World flatsedge,Cyperus cyperinus,Nepal,water
Old World flatsedge,Cyperus cyperinus,New Caledonia,water
Old World flatsedge,Cyperus cyperinus,Philippines,water
Old World flatsedge,Cyperus cyperinus,Samoa,water
Old World flatsedge,Cyperus cyperinus,Seychelles,water
Old World flatsedge,Cyperus cyperinus,Sri Lanka,water
Old World flatsedge,Cyperus cyperinus,Taiwan,water
Old World flatsedge,Cyperus cyperinus,Thailand,water
Old World flatsedge,Cyperus cyperinus,Tonga,water
Old World flatsedge,Cyperus cyperinus,United States,water
Old World flatsedge,Cyperus cyperinus,Vanuatu,water
Old World flatsedge,Cyperus cyperinus,Vietnam,water
Old World flatsedge,Cyperus cyperinus,Yemen,water
Pacific island flatsedge,Cyperus cyperoides,Angola,
Pacific island flatsedge,Cyperus cyperoides,Australia,
Pacific island flatsedge,Cyperus cyperoides,Bangladesh,
Pacific island flatsedge,Cyperus cyperoides,Benin,
Pacific island flatsedge,Cyperus cyperoides,Burkina Faso,
Pacific island flatsedge,Cyperus cyperoides,Burundi,
Pacific island flatsedge,Cyperus cyperoides,Cambodia,
Pacific island flatsedge,Cyperus cyperoides,Cameroon,
Pacific island flatsedge,Cyperus cyperoides,Central African Republic,
Pacific island flatsedge,Cyperus cyperoides,Chad,
Pacific island flatsedge,Cyperus cyperoides,Chile,
Pacific island flatsedge,Cyperus cyperoides,China,
Pacific island flatsedge,Cyperus cyperoides,Democratic Republic of the Congo,
Pacific island flatsedge,Cyperus cyperoides,Equatorial Guinea,
Pacific island flatsedge,Cyperus cyperoides,Eritrea,
Pacific island flatsedge,Cyperus cyperoides,Ethiopia,
Pacific island flatsedge,Cyperus cyperoides,Gabon,
Pacific island flatsedge,Cyperus cyperoides,Gambia,
Pacific island flatsedge,Cyperus cyperoides,Guinea,
Pacific island flatsedge,Cyperus cyperoides,Guinea-Bissau,
Pacific island flatsedge,Cyperus cyperoides,India,
Pacific island flatsedge,Cyperus cyperoides,Japan,
Pacific island flatsedge,Cyperus cyperoides,Kenya,
Pacific island flatsedge,Cyperus cyperoides,Laos,
Pacific island flatsedge,Cyperus cyperoides,Liberia,
Pacific island flatsedge,Cyperus cyperoides,Madagascar,
Pacific island flatsedge,Cyperus cyperoides,Malawi,
Pacific island flatsedge,Cyperus cyperoides,Malaysia,
Pacific island flatsedge,Cyperus cyperoides,Mali,
Pacific island flatsedge,Cyperus cyperoides,Mauritius,
Pacific island flatsedge,Cyperus cyperoides,Myanmar,
Pacific island flatsedge,Cyperus cyperoides,Namibia,
Pacific island flatsedge,Cyperus cyperoides,Nepal,
Pacific island flatsedge,Cyperus cyperoides,Nigeria,
Pacific island flatsedge,Cyperus cyperoides,Pakistan,
Pacific island flatsedge,Cyperus cyperoides,Philippines,
Pacific island flatsedge,Cyperus cyperoides,Republic of the Congo,
Pacific island flatsedge,Cyperus cyperoides,Rwanda,
Pacific island flatsedge,Cyperus cyperoides,South Africa,
,Cyperus cyprius,Cyprus,
,Cyperus dactyliformis,South Africa,
,Cyperus dactyliformis,Zimbabwe,
,Cyperus dactylotes,Australia,
,Cyperus davidsei,Brazil,
,Cyperus debilissimus,Madagascar,
,Cyperus deciduus,Angola,
,Cyperus deciduus,Zimbabwe,
,Cyperus decompositus,Australia,forest
,Cyperus densibulbosus,Somalia,
toothed flatsedge,Cyperus dentatus,United States,water
hairy flatsedge,Cyperus dentoniae,Costa Rica,
hairy flatsedge,Cyperus dentoniae,El Salvador,
hairy flatsedge,Cyperus dentoniae,Guatemala,
hairy flatsedge,Cyperus dentoniae,Honduras,
hairy flatsedge,Cyperus dentoniae,Mexico,
hairy flatsedge,Cyperus dentoniae,Nicaragua,
hairy flatsedge,Cyperus dentoniae,Panama,
hairy flatsedge,Cyperus dentoniae,United States,
,Cyperus denudatus,Angola,
,Cyperus denudatus,Australia,
,Cyperus denudatus,Botswana,
,Cyperus denudatus,Burkina Faso,
,Cyperus denudatus,Burundi,
,Cyperus denudatus,Democratic Republic of the Congo,
,Cyperus denudatus,Ethiopia,
,Cyperus denudatus,Gabon,
,Cyperus denudatus,Ghana,
,Cyperus denudatus,Guinea,
,Cyperus denudatus,India,
,Cyperus denudatus,Ivory Coast,
,Cyperus denudatus,Kenya,
,Cyperus denudatus,Madagascar,
,Cyperus denudatus,Malawi,
,Cyperus denudatus,Mali,
,Cyperus denudatus,Mozambique,
,Cyperus denudatus,Namibia,
,Cyperus denudatus,Niger,
,Cyperus denudatus,Nigeria,
,Cyperus denudatus,Republic of the Congo,
,Cyperus denudatus,Rwanda,
,Cyperus denudatus,Senegal,
,Cyperus denudatus,Sierra Leone,
,Cyperus denudatus,South Africa,
,Cyperus denudatus,Sudan,
,Cyperus denudatus,Tanzania,
,Cyperus denudatus,Togo,
,Cyperus denudatus,Uganda,
,Cyperus denudatus,Vietnam,
,Cyperus denudatus,Zambia,
,Cyperus denudatus,Zimbabwe,
,Cyperus derreilema,Ethiopia,
,Cyperus derreilema,Kenya,
,Cyperus derreilema,Malawi,
,Cyperus derreilema,Rwanda,
,Cyperus derreilema,Sudan,
,Cyperus derreilema,Tanzania,
,Cyperus diamantinus,Brazil,
umbrella flatsedge,Cyperus diandrus,United States,
,Cyperus dichromeniformis,Brazil,
,Cyperus dichromus,Kenya,
,Cyperus dichromus,Somalia,
,Cyperus dichrostachyus,Angola,
,Cyperus dichrostachyus,Burundi,
,Cyperus dichrostachyus,Cameroon,
,Cyperus dichrostachyus,Democratic Republic of the Congo,
,Cyperus dichrostachyus,Eritrea,
,Cyperus dichrostachyus,Ethiopia,
,Cyperus dichrostachyus,Kenya,
,Cyperus dichrostachyus,Madagascar,
,Cyperus dichrostachyus,Malawi,
,Cyperus dichrostachyus,Rwanda,
,Cyperus dichrostachyus,South Africa,
,Cyperus dichrostachyus,Sudan,
,Cyperus dichrostachyus,Tanzania,
,Cyperus dichrostachyus,Uganda,
,Cyperus dichrostachyus,Zambia,
,Cyperus dichrostachyus,Zimbabwe,
,Cyperus dietrichiae,Australia,
variable flatsedge,Cyperus difformis,Australia,water
diffused flatsedge,Cyperus diffusus,Australia,
diffused flatsedge,Cyperus diffusus,Bangladesh,
diffused flatsedge,Cyperus diffusus,Cambodia,
diffused flatsedge,Cyperus diffusus,China,
diffused flatsedge,Cyperus diffusus,India,
diffused flatsedge,Cyperus diffusus,Laos,
diffused flatsedge,Cyperus diffusus,Malaysia,
diffused flatsedge,Cyperus diffusus,Myanmar,
diffused flatsedge,Cyperus diffusus,Nepal,
diffused flatsedge,Cyperus diffusus,Sri Lanka,
diffused flatsedge,Cyperus diffusus,Taiwan,
diffused flatsedge,Cyperus diffusus,Thailand,
diffused flatsedge,Cyperus diffusus,Vietnam,
finger flatsedge,Cyperus digitatus,Angola,
finger flatsedge,Cyperus digitatus,Argentina,
finger flatsedge,Cyperus digitatus,Australia,
finger flatsedge,Cyperus digitatus,Bangladesh,
finger flatsedge,Cyperus digitatus,Belize,
finger flatsedge,Cyperus digitatus,Bolivia,
finger flatsedge,Cyperus digitatus,Botswana,
finger flatsedge,Cyperus digitatus,Brazil,
finger flatsedge,Cyperus digitatus,Burkina Faso,
finger flatsedge,Cyperus digitatus,Burundi,
finger flatsedge,Cyperus digitatus,Cameroon,
finger flatsedge,Cyperus digitatus,Central African Republic,
finger flatsedge,Cyperus digitatus,Chad,
finger flatsedge,Cyperus digitatus,China,
finger flatsedge,Cyperus digitatus,Colombia,
finger flatsedge,Cyperus digitatus,Costa Rica,
finger flatsedge,Cyperus digitatus,Cuba,
finger flatsedge,Cyperus digitatus,Democratic Republic of the Congo,
finger flatsedge,Cyperus digitatus,Dominican Republic,
finger flatsedge,Cyperus digitatus,Egypt,
finger flatsedge,Cyperus digitatus,Ethiopia,
finger flatsedge,Cyperus digitatus,Gabon,
finger flatsedge,Cyperus digitatus,Gambia,
finger flatsedge,Cyperus digitatus,Ghana,
finger flatsedge,Cyperus digitatus,Guatemala,
finger flatsedge,Cyperus digitatus,Guinea,
finger flatsedge,Cyperus digitatus,Guyana,
finger flatsedge,Cyperus digitatus,Haiti,
finger flatsedge,Cyperus digitatus,India,
finger flatsedge,Cyperus digitatus,Ivory Coast,
finger flatsedge,Cyperus digitatus,Jamaica,
finger flatsedge,Cyperus digitatus,Kenya,
finger flatsedge,Cyperus digitatus,Laos,
finger flatsedge,Cyperus digitatus,Malawi,
finger flatsedge,Cyperus digitatus,Malaysia,
finger flatsedge,Cyperus digitatus,Mali,
finger flatsedge,Cyperus digitatus,Mauritania,
finger flatsedge,Cyperus digitatus,Mexico,
finger flatsedge,Cyperus digitatus,Mozambique,
finger flatsedge,Cyperus digitatus,Myanmar,
finger flatsedge,Cyperus digitatus,Namibia,
finger flatsedge,Cyperus digitatus,Nepal,
finger flatsedge,Cyperus digitatus,Niger,
finger flatsedge,Cyperus digitatus,Nigeria,
finger flatsedge,Cyperus digitatus,Pakistan,
finger flatsedge,Cyperus digitatus,Panama,
finger flatsedge,Cyperus digitatus,Paraguay,
finger flatsedge,Cyperus digitatus,Peru,
finger flatsedge,Cyperus digitatus,Philippines,
finger flatsedge,Cyperus digitatus,Rwanda,
finger flatsedge,Cyperus digitatus,Senegal,
finger flatsedge,Cyperus digitatus,Sri Lanka,
finger flatsedge,Cyperus digitatus,Sudan,
finger flatsedge,Cyperus digitatus,Suriname,
finger flatsedge,Cyperus digitatus,Taiwan,
finger flatsedge,Cyperus digitatus,Tanzania,
finger flatsedge,Cyperus digitatus,Thailand,
finger flatsedge,Cyperus digitatus,Uganda,
finger flatsedge,Cyperus digitatus,United States,
finger flatsedge,Cyperus digitatus,Vietnam,
finger flatsedge,Cyperus digitatus,Zambia,
finger flatsedge,Cyperus digitatus,Zimbabwe,
,Cyperus dilatatus,Benin,
,Cyperus dilatatus,Burkina Faso,
,Cyperus dilatatus,Central African Republic,
,Cyperus dilatatus,Chad,
,Cyperus dilatatus,Gabon,
,Cyperus dilatatus,Gambia,
,Cyperus dilatatus,Ghana,
,Cyperus dilatatus,Guinea,
,Cyperus dilatatus,Ivory Coast,
,Cyperus dilatatus,Mali,
,Cyperus dilatatus,Nigeria,
,Cyperus dilatatus,Republic of the Congo,
,Cyperus dilatatus,Senegal,
,Cyperus dilatatus,Sierra Leone,
,Cyperus dilatatus,Somalia,
,Cyperus dilatatus,Sudan,
,Cyperus dilatatus,Tanzania,
,Cyperus dilatatus,Uganda,
flatsedge,Cyperus dioicus,Mexico,
Wright's flatsedge,Cyperus dipsaceus,Mexico,
Wright's flatsedge,Cyperus dipsaceus,United States,
,Cyperus disjunctus,Australia,
Piedmont flatsedge,Cyperus distans,Australia,water
Piedmont flatsedge,Cyperus distans,Madagascar,water
swamp flatsedge,Cyperus distinctus,Bahamas,water
swamp flatsedge,Cyperus distinctus,United States,water
,Cyperus diurensis,Ethiopia,
,Cyperus diurensis,Kenya,
,Cyperus diurensis,Zambia,
,Cyperus diurensis,Zimbabwe,
,Cyperus dives,Lebanon,
,Cyperus dives,Syria,
,Cyperus dives,Vietnam,
,Cyperus diwakarii,India,
,Cyperus drakensbergensis,South Africa,
,Cyperus dregeanus,Botswana,
,Cyperus dregeanus,Namibia,
,Cyperus dregeanus,South Africa,
,Cyperus dregeanus,Swaziland,
Drummond's sedge,Cyperus drummondii,Bolivia,
Drummond's sedge,Cyperus drummondii,Brazil,
Drummond's sedge,Cyperus drummondii,Costa Rica,
Drummond's sedge,Cyperus drummondii,Jamaica,
Drummond's sedge,Cyperus drummondii,Mexico,
Drummond's sedge,Cyperus drummondii,United States,
,Cyperus duclouxii,China,
,Cyperus dunensis,Madagascar,coastal
,Cyperus durus,Angola,
,Cyperus durus,South Africa,
,Cyperus eboracensis,Australia,
,Cyperus eglobosus,Australia,
,Cyperus ekmanii,Cuba,
,Cyperus elephantinus,South Africa,
,Cyperus endlichii,Tanzania,
,Cyperus enervis,Australia,
woodrush flatsedge,Cyperus entrerianus,Argentina,
woodrush flatsedge,Cyperus entrerianus,Bolivia,
woodrush flatsedge,Cyperus entrerianus,Brazil,
woodrush flatsedge,Cyperus entrerianus,Colombia,
woodrush flatsedge,Cyperus entrerianus,Cuba,
